Bit;Wert;OptionID;Name;Preis
0;1;0;PVCam;867
1;2;1;Illumination;867
2;4;2;Focus;867
3;8;3;DI Camera;867
4;16;4;PCO Sensicam;867
5;32;5;Stage;867
6;64;6;Magnification;867
7;128;7;Autofocus;867
8;256;8;VisiTools;995
9;512;9;VisiView;995
10;1024;10;VisiGrid;2900
11;2048;11;Measure;867
12;4096;12;Processing;867
13;8192;13;Frap;3089
14;16384;14;Meta Access;867
15;32768;15;Vt-Infinity;1605
16;65536;16;CSU X1;1605
17;131072;17;Ratio;867
18;262144;18;PCOxxxx;867
19;524288;19;Carv;867
20;1048576;20;Hamamatsu;867
21;2097152;21;SplitView;867
22;4194304;22;MultiCamera;1560
23;8388608;23;ObjectAnalysis;867
24;16777216;24;Qimage;867
25;33554432;25;MultiWell;867
26;67108864;26;TTLInput;867
27;134217728;27;ScanSlide;867
28;268435456;28;Stitching;550
29;536870912;29;Remote;867
30;1073741824;30;Andor;867
31;2147483648;32;SerialIO;867
32;4294967296;33;Basler;867
33;8589934592;34;PCO Pixelfly;867
34;17179869184;35;Tirf;867
35;34359738368;36;Microvolution;4000
36;68719476736;37;Display4DViewer;1500
37;1,37439E+11;38;RealtimeProcessing;867
38;2,74878E+11;39;LiveSR;867
39;5,49756E+11;40;CSUSoRa;867
40;1,09951E+12;41;Virtex;867
41;2,19902E+12;42;FluoCa;867
42;4,39805E+12;43;SPARQ;867
43;8,79609E+12;44;SRRF;3400
44;1,75922E+13;45;DeepSIM;867
45;3,51844E+13;46;MAICO;867
46;7,03687E+13;47;Tucsen;867
47;1,40737E+14;48;Aurox;0
48;2,81475E+14;49;res.;0
49;5,6295E+14;50;UltraFRAP;0
50;1,1259E+15;51;res.;0
51;2,2518E+15;52;res.;0
52;4,5036E+15;53;res.;0
53;9,0072E+15;54;res.;0
54;1,80144E+16;55;res.;0
55;3,60288E+16;56;res.;0
56;7,20576E+16;57;res.;0
57;1,44115E+17;58;res.;0
58;2,8823E+17;59;res.;0
59;5,76461E+17;60;res.;0
60;1,15292E+18;61;res.;0
61;2,30584E+18;62;res.;0
